frame = 11250	 simulation time = 224.980	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11251	 simulation time = 225.000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11252	 simulation time = 225.020	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11253	 simulation time = 225.040	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11254	 simulation time = 225.060	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11255	 simulation time = 225.080	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11256	 simulation time = 225.100	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11257	 simulation time = 225.120	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11258	 simulation time = 225.140	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11259	 simulation time = 225.160	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11260	 simulation time = 225.180	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11261	 simulation time = 225.200	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11262	 simulation time = 225.220	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11263	 simulation time = 225.240	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11264	 simulation time = 225.260	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11265	 simulation time = 225.280	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11266	 simulation time = 225.300	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11267	 simulation time = 225.320	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11268	 simulation time = 225.340	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11269	 simulation time = 225.360	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11270	 simulation time = 225.380	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11271	 simulation time = 225.400	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11272	 simulation time = 225.420	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11273	 simulation time = 225.440	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11274	 simulation time = 225.460	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11275	 simulation time = 225.480	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11276	 simulation time = 225.500	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11277	 simulation time = 225.520	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11278	 simulation time = 225.540	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11279	 simulation time = 225.560	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11280	 simulation time = 225.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11281	 simulation time = 225.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11282	 simulation time = 225.620	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11283	 simulation time = 225.640	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11284	 simulation time = 225.660	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11285	 simulation time = 225.680	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11286	 simulation time = 225.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11287	 simulation time = 225.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11288	 simulation time = 225.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11289	 simulation time = 225.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11290	 simulation time = 225.780	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11291	 simulation time = 225.800	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11292	 simulation time = 225.820	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11293	 simulation time = 225.840	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11294	 simulation time = 225.860	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11295	 simulation time = 225.880	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11296	 simulation time = 225.900	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11297	 simulation time = 225.920	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 58green
frame = 11298	 simulation time = 225.940	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11299	 simulation time = 225.960	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11300	 simulation time = 225.980	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11301	 simulation time = 226.000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11302	 simulation time = 226.020	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11303	 simulation time = 226.040	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11304	 simulation time = 226.060	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11305	 simulation time = 226.080	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11306	 simulation time = 226.100	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11307	 simulation time = 226.120	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11308	 simulation time = 226.140	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11309	 simulation time = 226.160	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11310	 simulation time = 226.180	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11311	 simulation time = 226.200	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11312	 simulation time = 226.220	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11313	 simulation time = 226.240	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11314	 simulation time = 226.260	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11315	 simulation time = 226.280	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11316	 simulation time = 226.300	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11317	 simulation time = 226.320	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11318	 simulation time = 226.340	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11319	 simulation time = 226.360	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11320	 simulation time = 226.380	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11321	 simulation time = 226.400	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11322	 simulation time = 226.420	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11323	 simulation time = 226.440	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11324	 simulation time = 226.460	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11325	 simulation time = 226.480	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11326	 simulation time = 226.500	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11327	 simulation time = 226.520	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11328	 simulation time = 226.540	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11329	 simulation time = 226.560	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11330	 simulation time = 226.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
frame = 11331	 simulation time = 226.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 117.518754	 next light status = 57green
