frame = 21060	 simulation time = 421.180	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21061	 simulation time = 421.200	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21062	 simulation time = 421.220	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21063	 simulation time = 421.240	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21064	 simulation time = 421.260	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21065	 simulation time = 421.280	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21066	 simulation time = 421.300	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21067	 simulation time = 421.320	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21068	 simulation time = 421.340	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21069	 simulation time = 421.360	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21070	 simulation time = 421.380	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21071	 simulation time = 421.400	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21072	 simulation time = 421.420	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21073	 simulation time = 421.440	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21074	 simulation time = 421.460	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21075	 simulation time = 421.480	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21076	 simulation time = 421.500	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21077	 simulation time = 421.520	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21078	 simulation time = 421.540	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21079	 simulation time = 421.560	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21080	 simulation time = 421.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21081	 simulation time = 421.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21082	 simulation time = 421.620	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21083	 simulation time = 421.640	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21084	 simulation time = 421.660	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21085	 simulation time = 421.680	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21086	 simulation time = 421.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21087	 simulation time = 421.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21088	 simulation time = 421.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21089	 simulation time = 421.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21090	 simulation time = 421.780	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21091	 simulation time = 421.800	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21092	 simulation time = 421.820	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21093	 simulation time = 421.840	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 5green
frame = 21094	 simulation time = 421.860	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21095	 simulation time = 421.880	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21096	 simulation time = 421.900	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21097	 simulation time = 421.920	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21098	 simulation time = 421.940	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21099	 simulation time = 421.960	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21100	 simulation time = 421.980	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21101	 simulation time = 422.000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21102	 simulation time = 422.020	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21103	 simulation time = 422.040	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21104	 simulation time = 422.060	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21105	 simulation time = 422.080	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
frame = 21106	 simulation time = 422.100	 ego_vehicle speed = 16.6667	 ego_vehicle location = 152.852158	 next light status = 4green
