frame = 1	 simulation time = 000000	 ego_vehicle speed = 0.0000	 ego_vehicle location = 0.00000000	 next light status = 70Green
frame = 2	 simulation time = 0.0200	 ego_vehicle speed = 0.1580	 ego_vehicle location = 0.00316000	 next light status = 70Green
frame = 3	 simulation time = 0.0400	 ego_vehicle speed = 0.4740	 ego_vehicle location = 0.01264000	 next light status = 70Green
frame = 4	 simulation time = 0.0600	 ego_vehicle speed = 1.1060	 ego_vehicle location = 0.03476000	 next light status = 70Green
frame = 5	 simulation time = 0.0800	 ego_vehicle speed = 2.3700	 ego_vehicle location = 0.08216000	 next light status = 70Green
frame = 6	 simulation time = 0.1000	 ego_vehicle speed = 4.8980	 ego_vehicle location = 0.18012000	 next light status = 70Green
frame = 7	 simulation time = 0.1200	 ego_vehicle speed = 9.9540	 ego_vehicle location = 0.37920000	 next light status = 70Green
frame = 8	 simulation time = 0.1400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 9	 simulation time = 0.1600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 10	 simulation time = 0.1800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 11	 simulation time = 0.2000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 12	 simulation time = 0.2200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 13	 simulation time = 0.2400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 14	 simulation time = 0.2600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 15	 simulation time = 0.2800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 16	 simulation time = 0.3000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 17	 simulation time = 0.3200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 18	 simulation time = 0.3400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 19	 simulation time = 0.3600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 20	 simulation time = 0.3800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 21	 simulation time = 0.4000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 22	 simulation time = 0.4200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 23	 simulation time = 0.4400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 24	 simulation time = 0.4600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 25	 simulation time = 0.4800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 26	 simulation time = 0.5000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 27	 simulation time = 0.5200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 28	 simulation time = 0.5400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 29	 simulation time = 0.5600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 30	 simulation time = 0.5800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 31	 simulation time = 0.6000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 32	 simulation time = 0.6200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 33	 simulation time = 0.6400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 34	 simulation time = 0.6600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 35	 simulation time = 0.6800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 36	 simulation time = 0.7000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 37	 simulation time = 0.7200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 38	 simulation time = 0.7400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 39	 simulation time = 0.7600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 40	 simulation time = 0.7800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 41	 simulation time = 0.8000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 42	 simulation time = 0.8200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 43	 simulation time = 0.8400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 44	 simulation time = 0.8600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 45	 simulation time = 0.8800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 46	 simulation time = 0.9000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 47	 simulation time = 0.9200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 48	 simulation time = 0.9400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 49	 simulation time = 0.9600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 50	 simulation time = 0.9800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 51	 simulation time = 1.0000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 70Green
frame = 52	 simulation time = 1.0200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 53	 simulation time = 1.0400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 54	 simulation time = 1.0600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 55	 simulation time = 1.0800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 56	 simulation time = 1.1000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 57	 simulation time = 1.1200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 58	 simulation time = 1.1400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 59	 simulation time = 1.1600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 60	 simulation time = 1.1800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 61	 simulation time = 1.2000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 62	 simulation time = 1.2200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 63	 simulation time = 1.2400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 64	 simulation time = 1.2600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 65	 simulation time = 1.2800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 66	 simulation time = 1.3000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 67	 simulation time = 1.3200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 68	 simulation time = 1.3400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 69	 simulation time = 1.3600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 70	 simulation time = 1.3800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 71	 simulation time = 1.4000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 72	 simulation time = 1.4200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 73	 simulation time = 1.4400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 74	 simulation time = 1.4600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 75	 simulation time = 1.4800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 76	 simulation time = 1.5000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 77	 simulation time = 1.5200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 78	 simulation time = 1.5400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 79	 simulation time = 1.5600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 80	 simulation time = 1.5800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 81	 simulation time = 1.6000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 82	 simulation time = 1.6200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 83	 simulation time = 1.6400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 84	 simulation time = 1.6600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 85	 simulation time = 1.6800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 86	 simulation time = 1.7000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 87	 simulation time = 1.7200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 88	 simulation time = 1.7400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 89	 simulation time = 1.7600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 90	 simulation time = 1.7800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 91	 simulation time = 1.8000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 92	 simulation time = 1.8200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 93	 simulation time = 1.8400	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 94	 simulation time = 1.8600	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 95	 simulation time = 1.8800	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 96	 simulation time = 1.9000	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
frame = 97	 simulation time = 1.9200	 ego_vehicle speed = 20.066	 ego_vehicle location = 0.78052000	 next light status = 69Green
