real world time stamp: 2023-06-25 10:55:59.911742	frame = 1	 simulation time = 0000000	 ego_vehicle speed = 0.00000	 ego_vehicle location = 0.0000000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.911988	frame = 2	 simulation time = 0.02000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0011600	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912098	frame = 3	 simulation time = 0.04000	 ego_vehicle speed = 0.11600	 ego_vehicle location = 0.0034800	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912202	frame = 4	 simulation time = 0.06000	 ego_vehicle speed = 0.17400	 ego_vehicle location = 0.0069600	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912276	frame = 5	 simulation time = 0.08000	 ego_vehicle speed = 0.23200	 ego_vehicle location = 0.0116000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912372	frame = 6	 simulation time = 0.10000	 ego_vehicle speed = 0.29000	 ego_vehicle location = 0.0174000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912472	frame = 7	 simulation time = 0.12000	 ego_vehicle speed = 0.34800	 ego_vehicle location = 0.0243600	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912576	frame = 8	 simulation time = 0.14000	 ego_vehicle speed = 0.40600	 ego_vehicle location = 0.0324800	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912688	frame = 9	 simulation time = 0.16000	 ego_vehicle speed = 0.46400	 ego_vehicle location = 0.0417600	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912794	frame = 10	 simulation time = 0.18000	 ego_vehicle speed = 0.52200	 ego_vehicle location = 0.0522000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.912903	frame = 11	 simulation time = 0.20000	 ego_vehicle speed = 0.58000	 ego_vehicle location = 0.0638000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913015	frame = 12	 simulation time = 0.22000	 ego_vehicle speed = 0.63800	 ego_vehicle location = 0.0765600	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913120	frame = 13	 simulation time = 0.24000	 ego_vehicle speed = 0.69600	 ego_vehicle location = 0.0904800	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913232	frame = 14	 simulation time = 0.26000	 ego_vehicle speed = 0.75400	 ego_vehicle location = 0.1055600	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913340	frame = 15	 simulation time = 0.28000	 ego_vehicle speed = 0.81200	 ego_vehicle location = 0.1218000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913451	frame = 16	 simulation time = 0.30000	 ego_vehicle speed = 0.87000	 ego_vehicle location = 0.1392000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913564	frame = 17	 simulation time = 0.32000	 ego_vehicle speed = 0.92800	 ego_vehicle location = 0.1577600	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913681	frame = 18	 simulation time = 0.34000	 ego_vehicle speed = 0.98600	 ego_vehicle location = 0.1774800	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913781	frame = 19	 simulation time = 0.36000	 ego_vehicle speed = 1.04400	 ego_vehicle location = 0.1983600	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.913894	frame = 20	 simulation time = 0.38000	 ego_vehicle speed = 1.10200	 ego_vehicle location = 0.2204000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.914001	frame = 21	 simulation time = 0.40000	 ego_vehicle speed = 1.16000	 ego_vehicle location = 0.2436000	 next light status = 50green
real world time stamp: 2023-06-25 10:55:59.914100	frame = 22	 simulation time = 0.42000	 ego_vehicle speed = 1.21800	 ego_vehicle location = 0.2679600	 next light status = 50green
