frame = 21607	 simulation time = 432.12	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21608	 simulation time = 432.14	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21609	 simulation time = 432.16	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21610	 simulation time = 432.18	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21611	 simulation time = 432.20	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21612	 simulation time = 432.22	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21613	 simulation time = 432.24	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21614	 simulation time = 432.26	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21615	 simulation time = 432.28	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21616	 simulation time = 432.30	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21617	 simulation time = 432.32	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21618	 simulation time = 432.34	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21619	 simulation time = 432.36	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21620	 simulation time = 432.38	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21621	 simulation time = 432.40	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21622	 simulation time = 432.42	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21623	 simulation time = 432.44	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21624	 simulation time = 432.46	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21625	 simulation time = 432.48	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21626	 simulation time = 432.50	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21627	 simulation time = 432.52	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21628	 simulation time = 432.54	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21629	 simulation time = 432.56	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21630	 simulation time = 432.58	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21631	 simulation time = 432.60	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21632	 simulation time = 432.62	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21633	 simulation time = 432.64	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21634	 simulation time = 432.66	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21635	 simulation time = 432.68	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21636	 simulation time = 432.70	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
frame = 21637	 simulation time = 432.72	 ego_vehicle speed = 000000	 ego_vehicle location = 170.266828	 next light status = 67red
