frame = 26686	 simulation time = 533.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 36green
frame = 26687	 simulation time = 533.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 36green
frame = 26688	 simulation time = 533.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 36green
frame = 26689	 simulation time = 533.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 36green
frame = 26690	 simulation time = 533.780	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 36green
frame = 26691	 simulation time = 533.800	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26692	 simulation time = 533.820	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26693	 simulation time = 533.840	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26694	 simulation time = 533.860	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26695	 simulation time = 533.880	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26696	 simulation time = 533.900	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26697	 simulation time = 533.920	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26698	 simulation time = 533.940	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26699	 simulation time = 533.960	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26700	 simulation time = 533.980	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26701	 simulation time = 534.000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26702	 simulation time = 534.020	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26703	 simulation time = 534.040	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26704	 simulation time = 534.060	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26705	 simulation time = 534.080	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26706	 simulation time = 534.100	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26707	 simulation time = 534.120	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26708	 simulation time = 534.140	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26709	 simulation time = 534.160	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26710	 simulation time = 534.180	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26711	 simulation time = 534.200	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26712	 simulation time = 534.220	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26713	 simulation time = 534.240	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26714	 simulation time = 534.260	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26715	 simulation time = 534.280	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26716	 simulation time = 534.300	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26717	 simulation time = 534.320	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26718	 simulation time = 534.340	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26719	 simulation time = 534.360	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26720	 simulation time = 534.380	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26721	 simulation time = 534.400	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26722	 simulation time = 534.420	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26723	 simulation time = 534.440	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26724	 simulation time = 534.460	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26725	 simulation time = 534.480	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26726	 simulation time = 534.500	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26727	 simulation time = 534.520	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26728	 simulation time = 534.540	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26729	 simulation time = 534.560	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26730	 simulation time = 534.580	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26731	 simulation time = 534.600	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26732	 simulation time = 534.620	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26733	 simulation time = 534.640	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26734	 simulation time = 534.660	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26735	 simulation time = 534.680	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26736	 simulation time = 534.700	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26737	 simulation time = 534.720	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26738	 simulation time = 534.740	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26739	 simulation time = 534.760	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26740	 simulation time = 534.780	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 35green
frame = 26741	 simulation time = 534.800	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26742	 simulation time = 534.820	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26743	 simulation time = 534.840	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26744	 simulation time = 534.860	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26745	 simulation time = 534.880	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26746	 simulation time = 534.900	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26747	 simulation time = 534.920	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26748	 simulation time = 534.940	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26749	 simulation time = 534.960	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26750	 simulation time = 534.980	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26751	 simulation time = 535.000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26752	 simulation time = 535.020	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26753	 simulation time = 535.040	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26754	 simulation time = 535.060	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
frame = 26755	 simulation time = 535.080	 ego_vehicle speed = 16.6667	 ego_vehicle location = 188.185562	 next light status = 34green
