real world time stamp: 2023-06-21 13:26:30.319130	frame = 1	 simulation time = 0000000	 ego_vehicle speed = 0.00000	 ego_vehicle location = 0.0000000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319288	frame = 2	 simulation time = 0.02000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0011600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319377	frame = 3	 simulation time = 0.04000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0023200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319435	frame = 4	 simulation time = 0.06000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0034800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319502	frame = 5	 simulation time = 0.08000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0046400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319564	frame = 6	 simulation time = 0.10000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0058000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319625	frame = 7	 simulation time = 0.12000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0069600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319688	frame = 8	 simulation time = 0.14000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0081200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319750	frame = 9	 simulation time = 0.16000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0092800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319807	frame = 10	 simulation time = 0.18000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0104400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319862	frame = 11	 simulation time = 0.20000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0116000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319916	frame = 12	 simulation time = 0.22000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0127600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.319970	frame = 13	 simulation time = 0.24000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0139200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320028	frame = 14	 simulation time = 0.26000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0150800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320082	frame = 15	 simulation time = 0.28000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0162400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320135	frame = 16	 simulation time = 0.30000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0174000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320190	frame = 17	 simulation time = 0.32000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0185600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320243	frame = 18	 simulation time = 0.34000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0197200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320295	frame = 19	 simulation time = 0.36000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0208800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320347	frame = 20	 simulation time = 0.38000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0220400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320399	frame = 21	 simulation time = 0.40000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0232000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320450	frame = 22	 simulation time = 0.42000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0243600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320503	frame = 23	 simulation time = 0.44000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0255200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320563	frame = 24	 simulation time = 0.46000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0266800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320618	frame = 25	 simulation time = 0.48000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0278400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320670	frame = 26	 simulation time = 0.50000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0290000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320722	frame = 27	 simulation time = 0.52000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0301600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320774	frame = 28	 simulation time = 0.54000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0313200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320826	frame = 29	 simulation time = 0.56000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0324800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320878	frame = 30	 simulation time = 0.58000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0336400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320929	frame = 31	 simulation time = 0.60000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0348000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.320981	frame = 32	 simulation time = 0.62000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0359600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321033	frame = 33	 simulation time = 0.64000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0371200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321083	frame = 34	 simulation time = 0.66000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0382800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321138	frame = 35	 simulation time = 0.68000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0394400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321190	frame = 36	 simulation time = 0.70000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0406000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321241	frame = 37	 simulation time = 0.72000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0417600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321292	frame = 38	 simulation time = 0.74000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0429200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321342	frame = 39	 simulation time = 0.76000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0440800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321393	frame = 40	 simulation time = 0.78000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0452400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321445	frame = 41	 simulation time = 0.80000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0464000	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321496	frame = 42	 simulation time = 0.82000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0475600	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321546	frame = 43	 simulation time = 0.84000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0487200	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321597	frame = 44	 simulation time = 0.86000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0498800	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321660	frame = 45	 simulation time = 0.88000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0510400	 next light status = 50green
real world time stamp: 2023-06-21 13:26:30.321713	frame = 46	 simulation time = 0.90000	 ego_vehicle speed = 0.05800	 ego_vehicle location = 0.0522000	 next light status = 50green
