frame = 52	 simulation time = 1.02000	 ego_vehicle speed = 8.05800	 ego_vehicle location = 4.19016000	 next light status = 69Green
frame = 53	 simulation time = 1.04000	 ego_vehicle speed = 8.21600	 ego_vehicle location = 4.35448000	 next light status = 69Green
frame = 54	 simulation time = 1.06000	 ego_vehicle speed = 8.37400	 ego_vehicle location = 4.52196000	 next light status = 69Green
frame = 55	 simulation time = 1.08000	 ego_vehicle speed = 8.53200	 ego_vehicle location = 4.69260000	 next light status = 69Green
frame = 56	 simulation time = 1.10000	 ego_vehicle speed = 8.69000	 ego_vehicle location = 4.86640000	 next light status = 69Green
frame = 57	 simulation time = 1.12000	 ego_vehicle speed = 8.84800	 ego_vehicle location = 5.04336000	 next light status = 69Green
frame = 58	 simulation time = 1.14000	 ego_vehicle speed = 9.00600	 ego_vehicle location = 5.22348000	 next light status = 69Green
frame = 59	 simulation time = 1.16000	 ego_vehicle speed = 9.16400	 ego_vehicle location = 5.40676000	 next light status = 69Green
frame = 60	 simulation time = 1.18000	 ego_vehicle speed = 9.32200	 ego_vehicle location = 5.59320000	 next light status = 69Green
frame = 61	 simulation time = 1.20000	 ego_vehicle speed = 9.48000	 ego_vehicle location = 5.78280000	 next light status = 69Green
frame = 62	 simulation time = 1.22000	 ego_vehicle speed = 9.63800	 ego_vehicle location = 5.97556000	 next light status = 69Green
frame = 63	 simulation time = 1.24000	 ego_vehicle speed = 9.79600	 ego_vehicle location = 6.17148000	 next light status = 69Green
frame = 64	 simulation time = 1.26000	 ego_vehicle speed = 9.95400	 ego_vehicle location = 6.37056000	 next light status = 69Green
frame = 65	 simulation time = 1.28000	 ego_vehicle speed = 10.1120	 ego_vehicle location = 6.57280000	 next light status = 69Green
frame = 66	 simulation time = 1.30000	 ego_vehicle speed = 10.2700	 ego_vehicle location = 6.77820000	 next light status = 69Green
frame = 67	 simulation time = 1.32000	 ego_vehicle speed = 10.4280	 ego_vehicle location = 6.98676000	 next light status = 69Green
frame = 68	 simulation time = 1.34000	 ego_vehicle speed = 10.5860	 ego_vehicle location = 7.19848000	 next light status = 69Green
frame = 69	 simulation time = 1.36000	 ego_vehicle speed = 10.7440	 ego_vehicle location = 7.41336000	 next light status = 69Green
frame = 70	 simulation time = 1.38000	 ego_vehicle speed = 10.9020	 ego_vehicle location = 7.63140000	 next light status = 69Green
frame = 71	 simulation time = 1.40000	 ego_vehicle speed = 11.0600	 ego_vehicle location = 7.85260000	 next light status = 69Green
frame = 72	 simulation time = 1.42000	 ego_vehicle speed = 11.2180	 ego_vehicle location = 8.07696000	 next light status = 69Green
frame = 73	 simulation time = 1.44000	 ego_vehicle speed = 11.3760	 ego_vehicle location = 8.30448000	 next light status = 69Green
frame = 74	 simulation time = 1.46000	 ego_vehicle speed = 11.5340	 ego_vehicle location = 8.53516000	 next light status = 69Green
frame = 75	 simulation time = 1.48000	 ego_vehicle speed = 11.6920	 ego_vehicle location = 8.76900000	 next light status = 69Green
frame = 76	 simulation time = 1.50000	 ego_vehicle speed = 11.8500	 ego_vehicle location = 9.00600000	 next light status = 69Green
frame = 77	 simulation time = 1.52000	 ego_vehicle speed = 12.0080	 ego_vehicle location = 9.24616000	 next light status = 69Green
frame = 78	 simulation time = 1.54000	 ego_vehicle speed = 12.1660	 ego_vehicle location = 9.48948000	 next light status = 69Green
frame = 79	 simulation time = 1.56000	 ego_vehicle speed = 12.3240	 ego_vehicle location = 9.73596000	 next light status = 69Green
frame = 80	 simulation time = 1.58000	 ego_vehicle speed = 12.4820	 ego_vehicle location = 9.98560000	 next light status = 69Green
frame = 81	 simulation time = 1.60000	 ego_vehicle speed = 12.6400	 ego_vehicle location = 10.2384000	 next light status = 69Green
frame = 82	 simulation time = 1.62000	 ego_vehicle speed = 12.7980	 ego_vehicle location = 10.4943600	 next light status = 69Green
frame = 83	 simulation time = 1.64000	 ego_vehicle speed = 12.9560	 ego_vehicle location = 10.7534800	 next light status = 69Green
frame = 84	 simulation time = 1.66000	 ego_vehicle speed = 13.1140	 ego_vehicle location = 11.0157600	 next light status = 69Green
frame = 85	 simulation time = 1.68000	 ego_vehicle speed = 13.2720	 ego_vehicle location = 11.2812000	 next light status = 69Green
frame = 86	 simulation time = 1.70000	 ego_vehicle speed = 13.4300	 ego_vehicle location = 11.5498000	 next light status = 69Green
frame = 87	 simulation time = 1.72000	 ego_vehicle speed = 13.5880	 ego_vehicle location = 11.8215600	 next light status = 69Green
frame = 88	 simulation time = 1.74000	 ego_vehicle speed = 13.7460	 ego_vehicle location = 12.0964800	 next light status = 69Green
frame = 89	 simulation time = 1.76000	 ego_vehicle speed = 13.9040	 ego_vehicle location = 12.3745600	 next light status = 69Green
frame = 90	 simulation time = 1.78000	 ego_vehicle speed = 14.0620	 ego_vehicle location = 12.6558000	 next light status = 69Green
frame = 91	 simulation time = 1.80000	 ego_vehicle speed = 14.2200	 ego_vehicle location = 12.9402000	 next light status = 69Green
frame = 92	 simulation time = 1.82000	 ego_vehicle speed = 14.3780	 ego_vehicle location = 13.2277600	 next light status = 69Green
