frame = 14304	 simulation time = 286.06	 ego_vehicle speed = 18.644	 ego_vehicle location = 104.1420021631	 next light status = 70red
frame = 14305	 simulation time = 286.08	 ego_vehicle speed = 18.486	 ego_vehicle location = 104.5117221631	 next light status = 70red
frame = 14306	 simulation time = 286.10	 ego_vehicle speed = 18.328	 ego_vehicle location = 104.8782821631	 next light status = 70red
frame = 14307	 simulation time = 286.12	 ego_vehicle speed = 18.170	 ego_vehicle location = 105.2416821631	 next light status = 70red
frame = 14308	 simulation time = 286.14	 ego_vehicle speed = 18.012	 ego_vehicle location = 105.6019221631	 next light status = 70red
frame = 14309	 simulation time = 286.16	 ego_vehicle speed = 17.854	 ego_vehicle location = 105.9590021631	 next light status = 70red
frame = 14310	 simulation time = 286.18	 ego_vehicle speed = 17.696	 ego_vehicle location = 106.3129221631	 next light status = 70red
frame = 14311	 simulation time = 286.20	 ego_vehicle speed = 17.538	 ego_vehicle location = 106.6636821631	 next light status = 70red
frame = 14312	 simulation time = 286.22	 ego_vehicle speed = 17.380	 ego_vehicle location = 107.0112821631	 next light status = 70red
frame = 14313	 simulation time = 286.24	 ego_vehicle speed = 17.222	 ego_vehicle location = 107.3557221631	 next light status = 70red
frame = 14314	 simulation time = 286.26	 ego_vehicle speed = 17.064	 ego_vehicle location = 107.6970021631	 next light status = 70red
frame = 14315	 simulation time = 286.28	 ego_vehicle speed = 16.906	 ego_vehicle location = 108.0351221631	 next light status = 70red
frame = 14316	 simulation time = 286.30	 ego_vehicle speed = 16.748	 ego_vehicle location = 108.3700821631	 next light status = 70red
frame = 14317	 simulation time = 286.32	 ego_vehicle speed = 16.590	 ego_vehicle location = 108.7018821631	 next light status = 70red
frame = 14318	 simulation time = 286.34	 ego_vehicle speed = 16.432	 ego_vehicle location = 109.0305221631	 next light status = 70red
frame = 14319	 simulation time = 286.36	 ego_vehicle speed = 16.274	 ego_vehicle location = 109.3560021631	 next light status = 70red
frame = 14320	 simulation time = 286.38	 ego_vehicle speed = 16.116	 ego_vehicle location = 109.6783221631	 next light status = 70red
frame = 14321	 simulation time = 286.40	 ego_vehicle speed = 15.958	 ego_vehicle location = 109.9974821631	 next light status = 70red
frame = 14322	 simulation time = 286.42	 ego_vehicle speed = 15.800	 ego_vehicle location = 110.3134821631	 next light status = 70red
frame = 14323	 simulation time = 286.44	 ego_vehicle speed = 15.642	 ego_vehicle location = 110.6263221631	 next light status = 70red
frame = 14324	 simulation time = 286.46	 ego_vehicle speed = 15.484	 ego_vehicle location = 110.9360021631	 next light status = 70red
frame = 14325	 simulation time = 286.48	 ego_vehicle speed = 15.326	 ego_vehicle location = 111.2425221631	 next light status = 70red
frame = 14326	 simulation time = 286.50	 ego_vehicle speed = 15.168	 ego_vehicle location = 111.5458821631	 next light status = 70red
frame = 14327	 simulation time = 286.52	 ego_vehicle speed = 15.010	 ego_vehicle location = 111.8460821631	 next light status = 70red
frame = 14328	 simulation time = 286.54	 ego_vehicle speed = 14.852	 ego_vehicle location = 112.1431221631	 next light status = 70red
frame = 14329	 simulation time = 286.56	 ego_vehicle speed = 14.694	 ego_vehicle location = 112.4370021631	 next light status = 70red
frame = 14330	 simulation time = 286.58	 ego_vehicle speed = 14.536	 ego_vehicle location = 112.7277221631	 next light status = 70red
frame = 14331	 simulation time = 286.60	 ego_vehicle speed = 14.378	 ego_vehicle location = 113.0152821631	 next light status = 70red
frame = 14332	 simulation time = 286.62	 ego_vehicle speed = 14.220	 ego_vehicle location = 113.2996821631	 next light status = 70red
