guo le ting zhi xian cai ting che, yin wei hong lv deng qu zheng shu

real world time stamp: 2023-06-26 14:25:02.975046	frame = 23816	 simulation time = 476.300	 ego_vehicle speed = 12.8747	 ego_vehicle location = 5083.089295999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.975190	frame = 23817	 simulation time = 476.320	 ego_vehicle speed = 12.7167	 ego_vehicle location = 5083.343629999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.975335	frame = 23818	 simulation time = 476.340	 ego_vehicle speed = 12.5587	 ego_vehicle location = 5083.594803999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.975482	frame = 23819	 simulation time = 476.360	 ego_vehicle speed = 12.4007	 ego_vehicle location = 5083.842817999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.975628	frame = 23820	 simulation time = 476.380	 ego_vehicle speed = 12.2427	 ego_vehicle location = 5084.087671999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.975773	frame = 23821	 simulation time = 476.400	 ego_vehicle speed = 12.0847	 ego_vehicle location = 5084.329365999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.975918	frame = 23822	 simulation time = 476.420	 ego_vehicle speed = 11.9267	 ego_vehicle location = 5084.567899999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.976079	frame = 23823	 simulation time = 476.440	 ego_vehicle speed = 11.7687	 ego_vehicle location = 5084.803273999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.976231	frame = 23824	 simulation time = 476.460	 ego_vehicle speed = 11.6107	 ego_vehicle location = 5085.035487999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.976378	frame = 23825	 simulation time = 476.480	 ego_vehicle speed = 11.4527	 ego_vehicle location = 5085.264541999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.976525	frame = 23826	 simulation time = 476.500	 ego_vehicle speed = 11.2947	 ego_vehicle location = 5085.490435999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.976672	frame = 23827	 simulation time = 476.520	 ego_vehicle speed = 11.1367	 ego_vehicle location = 5085.713169999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.976818	frame = 23828	 simulation time = 476.540	 ego_vehicle speed = 10.9787	 ego_vehicle location = 5085.932743999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.976963	frame = 23829	 simulation time = 476.560	 ego_vehicle speed = 10.8207	 ego_vehicle location = 5086.149157999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.977109	frame = 23830	 simulation time = 476.580	 ego_vehicle speed = 10.6627	 ego_vehicle location = 5086.362411999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.977254	frame = 23831	 simulation time = 476.600	 ego_vehicle speed = 10.5047	 ego_vehicle location = 5086.572505999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.977400	frame = 23832	 simulation time = 476.620	 ego_vehicle speed = 10.3467	 ego_vehicle location = 5086.779439999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.977544	frame = 23833	 simulation time = 476.640	 ego_vehicle speed = 10.1887	 ego_vehicle location = 5086.983213999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.977688	frame = 23834	 simulation time = 476.660	 ego_vehicle speed = 10.0307	 ego_vehicle location = 5087.183827999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.977833	frame = 23835	 simulation time = 476.680	 ego_vehicle speed = 9.87270	 ego_vehicle location = 5087.381281999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.977978	frame = 23836	 simulation time = 476.700	 ego_vehicle speed = 9.71470	 ego_vehicle location = 5087.575575999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.978123	frame = 23837	 simulation time = 476.720	 ego_vehicle speed = 9.55670	 ego_vehicle location = 5087.766709999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.978268	frame = 23838	 simulation time = 476.740	 ego_vehicle speed = 9.39870	 ego_vehicle location = 5087.954683999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.978413	frame = 23839	 simulation time = 476.760	 ego_vehicle speed = 9.24070	 ego_vehicle location = 5088.139497999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.978558	frame = 23840	 simulation time = 476.780	 ego_vehicle speed = 9.08270	 ego_vehicle location = 5088.321151999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.978704	frame = 23841	 simulation time = 476.800	 ego_vehicle speed = 8.92470	 ego_vehicle location = 5088.499645999	 next light status = 2green
real world time stamp: 2023-06-26 14:25:02.978849	frame = 23842	 simulation time = 476.820	 ego_vehicle speed = 8.76670	 ego_vehicle location = 5088.674979999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.978996	frame = 23843	 simulation time = 476.840	 ego_vehicle speed = 8.60870	 ego_vehicle location = 5088.847153999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.979142	frame = 23844	 simulation time = 476.860	 ego_vehicle speed = 8.45070	 ego_vehicle location = 5089.016167999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.979288	frame = 23845	 simulation time = 476.880	 ego_vehicle speed = 8.29270	 ego_vehicle location = 5089.182021999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.979437	frame = 23846	 simulation time = 476.900	 ego_vehicle speed = 8.13470	 ego_vehicle location = 5089.344715999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.979583	frame = 23847	 simulation time = 476.920	 ego_vehicle speed = 7.97670	 ego_vehicle location = 5089.504249999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.979727	frame = 23848	 simulation time = 476.940	 ego_vehicle speed = 7.81870	 ego_vehicle location = 5089.660623999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.979872	frame = 23849	 simulation time = 476.960	 ego_vehicle speed = 7.66070	 ego_vehicle location = 5089.813837999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.980017	frame = 23850	 simulation time = 476.980	 ego_vehicle speed = 7.50270	 ego_vehicle location = 5089.963891999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.980192	frame = 23851	 simulation time = 477.000	 ego_vehicle speed = 7.34470	 ego_vehicle location = 5090.110785999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.980340	frame = 23852	 simulation time = 477.020	 ego_vehicle speed = 7.18670	 ego_vehicle location = 5090.254519999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.980486	frame = 23853	 simulation time = 477.040	 ego_vehicle speed = 7.02870	 ego_vehicle location = 5090.395093999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.980630	frame = 23854	 simulation time = 477.060	 ego_vehicle speed = 6.87070	 ego_vehicle location = 5090.532507999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.980775	frame = 23855	 simulation time = 477.080	 ego_vehicle speed = 6.71270	 ego_vehicle location = 5090.666761999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.980919	frame = 23856	 simulation time = 477.100	 ego_vehicle speed = 6.55470	 ego_vehicle location = 5090.797855999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.981064	frame = 23857	 simulation time = 477.120	 ego_vehicle speed = 6.39670	 ego_vehicle location = 5090.925789999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.981208	frame = 23858	 simulation time = 477.140	 ego_vehicle speed = 6.23870	 ego_vehicle location = 5091.050563999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.981351	frame = 23859	 simulation time = 477.160	 ego_vehicle speed = 6.08070	 ego_vehicle location = 5091.172177999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.981495	frame = 23860	 simulation time = 477.180	 ego_vehicle speed = 5.92270	 ego_vehicle location = 5091.290631999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.981639	frame = 23861	 simulation time = 477.200	 ego_vehicle speed = 5.76470	 ego_vehicle location = 5091.405925999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.981783	frame = 23862	 simulation time = 477.220	 ego_vehicle speed = 5.60670	 ego_vehicle location = 5091.518059999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.981927	frame = 23863	 simulation time = 477.240	 ego_vehicle speed = 5.44870	 ego_vehicle location = 5091.627033999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.982071	frame = 23864	 simulation time = 477.260	 ego_vehicle speed = 5.29070	 ego_vehicle location = 5091.732847999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.982215	frame = 23865	 simulation time = 477.280	 ego_vehicle speed = 5.13270	 ego_vehicle location = 5091.835501999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.982358	frame = 23866	 simulation time = 477.300	 ego_vehicle speed = 4.97470	 ego_vehicle location = 5091.934995999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.982502	frame = 23867	 simulation time = 477.320	 ego_vehicle speed = 4.81670	 ego_vehicle location = 5092.031329999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.982650	frame = 23868	 simulation time = 477.340	 ego_vehicle speed = 4.65870	 ego_vehicle location = 5092.124503999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.982798	frame = 23869	 simulation time = 477.360	 ego_vehicle speed = 4.50070	 ego_vehicle location = 5092.214517999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.982942	frame = 23870	 simulation time = 477.380	 ego_vehicle speed = 4.34270	 ego_vehicle location = 5092.301371999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.983088	frame = 23871	 simulation time = 477.400	 ego_vehicle speed = 4.18470	 ego_vehicle location = 5092.385065999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.983232	frame = 23872	 simulation time = 477.420	 ego_vehicle speed = 4.02670	 ego_vehicle location = 5092.465599999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.983375	frame = 23873	 simulation time = 477.440	 ego_vehicle speed = 3.86870	 ego_vehicle location = 5092.542973999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.983519	frame = 23874	 simulation time = 477.460	 ego_vehicle speed = 3.71070	 ego_vehicle location = 5092.617187999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.983666	frame = 23875	 simulation time = 477.480	 ego_vehicle speed = 3.55270	 ego_vehicle location = 5092.688241999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.983811	frame = 23876	 simulation time = 477.500	 ego_vehicle speed = 3.39470	 ego_vehicle location = 5092.756135999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.983956	frame = 23877	 simulation time = 477.520	 ego_vehicle speed = 3.23670	 ego_vehicle location = 5092.820869999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.984106	frame = 23878	 simulation time = 477.540	 ego_vehicle speed = 3.07870	 ego_vehicle location = 5092.882443999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.984251	frame = 23879	 simulation time = 477.560	 ego_vehicle speed = 2.92070	 ego_vehicle location = 5092.940857999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.984395	frame = 23880	 simulation time = 477.580	 ego_vehicle speed = 2.76270	 ego_vehicle location = 5092.996111999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.984538	frame = 23881	 simulation time = 477.600	 ego_vehicle speed = 2.60470	 ego_vehicle location = 5093.048205999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.984683	frame = 23882	 simulation time = 477.620	 ego_vehicle speed = 2.44670	 ego_vehicle location = 5093.097139999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.984829	frame = 23883	 simulation time = 477.640	 ego_vehicle speed = 2.28870	 ego_vehicle location = 5093.142913999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.984974	frame = 23884	 simulation time = 477.660	 ego_vehicle speed = 2.13070	 ego_vehicle location = 5093.185527999	 next light status = 1green
real world time stamp: 2023-06-26 14:25:02.985119	frame = 23885	 simulation time = 477.680	 ego_vehicle speed = 1.97270	 ego_vehicle location = 5093.224981999	 next light status = 1green
