step,action,location, speed,EV location,EV speed,d to next tl,t1,,t2,,t3,,t4,,t5,,t6,,t7,,t8,,t9,,t10,,t11,,t12,,t13,,t14,,t15,,t16,,t17,
30,0.814826,7.670748,4.958179,[7.670748,4.958179,92.329254,8,1,24,1,48,1,50,1,50,1,58,1,65,1,65,1,65,1,54,1,54,1,65,1,58,1,58,1,58,1,58,1,47, 2.0]
31,0.83472,8.18326,5.125123,[8.18326,5.125123,91.816742,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
32,0.831567,8.712404,5.291436,[8.712404,5.291436,91.287598,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
33,0.825438,9.258057,5.456524,[9.258057,5.456524,90.741943,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
34,0.818136,9.820071,5.620151,[9.820071,5.620151,90.179932,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
35,0.809312,10.398273,5.782013,[10.398273,5.782013,89.60173,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
36,0.798507,10.992444,5.941715,[10.992444,5.941715,89.007553,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
37,0.785131,11.602319,6.098741,[11.602319,6.098741,88.397682,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
38,0.76845,12.227562,6.252431,[12.227562,6.252431,87.772438,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
39,0.747596,12.867757,6.40195,[12.867757,6.40195,87.13224,7,1,24,1,48,1,50,1,50,1,58,1,64,1,64,1,64,1,54,1,54,1,64,1,58,1,58,1,58,1,58,1,47, 2.0]
40,0.721647,13.522385,6.54628,[13.522385,6.54628,86.477615,7,1,23,1,47,1,49,1,49,1,57,1,64,1,64,1,64,1,53,1,53,1,64,1,57,1,57,1,57,1,57,1,46, 2.0]
41,0.763149,14.192276,6.69891,[14.192276,6.69891,85.807724,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
42,0.725846,14.876683,6.844079,[14.876683,6.844079,85.123314,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
43,0.690747,15.574906,6.982228,[15.574906,6.982228,84.425095,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
44,0.64952,16.286119,7.112133,[16.286119,7.112133,83.713882,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
45,0.602466,17.009382,7.232626,[17.009382,7.232626,82.990616,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
46,0.550083,17.743647,7.342642,[17.743647,7.342642,82.256355,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
47,0.492801,18.487766,7.441203,[18.487766,7.441203,81.51223,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
48,0.430907,19.240505,7.527384,[19.240505,7.527384,80.759499,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
49,0.364781,20.00054,7.60034,[20.00054,7.60034,79.999458,6,1,23,1,47,1,49,1,49,1,57,1,63,1,63,1,63,1,53,1,53,1,63,1,57,1,57,1,57,1,57,1,46, 2.0]
50,0.295294,20.766479,7.659399,[20.766479,7.659399,79.233521,6,1,22,1,46,1,48,1,48,1,56,1,63,1,63,1,63,1,52,1,52,1,63,1,56,1,56,1,56,1,56,1,45, 2.0]
51,0.484148,21.542103,7.756228,[21.542103,7.756228,78.457901,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
52,0.28576,22.323441,7.81338,[22.323441,7.81338,77.676559,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
53,0.213137,23.109041,7.856008,[23.109041,7.856008,76.890961,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
54,0.143637,23.897514,7.884735,[23.897514,7.884735,76.102486,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
55,0.08047,24.687597,7.900829,[24.687597,7.900829,75.312401,5,1,22,1,46,1,48,1,48,1,56,1,62,1,62,1,62,1,52,1,52,1,62,1,56,1,56,1,56,1,56,1,45, 2.0]
